YEAR,MONTH,DAY,HOUR,Q_cfs
2008,3,5,5,8555
2008,3,5,6,9815
2008,3,5,7,11550
2008,3,5,8,13500
2008,3,5,9,16200
2008,3,5,10,18900
2008,3,5,11,20500
2008,3,5,12,21250
2008,3,5,13,21750
2008,3,5,14,22250
2008,3,5,15,22300
2008,3,5,16,21650
2008,3,5,17,20750
2008,3,5,18,19750
2008,3,5,19,18750
2008,3,5,20,17800
2008,3,5,21,16850
2008,3,5,22,15950
2008,3,5,23,15100
2008,3,6,0,14300
2008,3,6,1,13550
2008,3,6,2,12950
2008,3,6,3,12250
2008,3,6,4,11700
2008,3,6,5,11200
2008,3,6,6,10700
2008,3,6,7,10200
2008,3,6,8,9875
2008,3,6,9,9510
2008,3,6,10,9150
